Time, Price
7/1/2015 0:00,-84.6684862493
7/1/2015 0:05,12.2498242828
7/1/2015 0:10,-12.7790698998
7/1/2015 0:15,22.6537008197
7/1/2015 0:20,23.68259449
7/1/2015 0:25,23.8005623862
7/1/2015 0:30,23.1032852345
7/1/2015 0:35,22.9698796107
7/1/2015 0:40,24.1152322404
7/1/2015 0:45,22.1911263377
7/1/2015 0:50,21.5230885701
7/1/2015 0:55,22.1744082992
7/1/2015 1:00,22.6292782332
7/1/2015 1:05,23.2697878854
7/1/2015 1:10,12.7318812126
7/1/2015 1:15,24.5854681808
7/1/2015 1:20,27.2011576161
7/1/2015 1:25,19.448171505
7/1/2015 1:30,31.9836158356
7/1/2015 1:35,14.0795363323
7/1/2015 1:40,19.8500801173
7/1/2015 1:45,18.2551164048
7/1/2015 1:50,5.66832835269
7/1/2015 1:55,10.4152661088
7/1/2015 2:00,9.9653870674
7/1/2015 2:05,10.4616789048
7/1/2015 2:10,3.86765620121
7/1/2015 2:15,-7.84098612737
7/1/2015 2:20,13.3967459586
7/1/2015 2:25,11.2293478809
7/1/2015 2:30,10.49953199
7/1/2015 2:35,15.5685979622
7/1/2015 2:40,15.2267188923
7/1/2015 2:45,13.4137664666
7/1/2015 2:50,14.4031983476
7/1/2015 2:55,20.3988822209
7/1/2015 3:00,16.328662178
7/1/2015 3:05,11.0710949698
7/1/2015 3:10,8.10701558028
7/1/2015 3:15,10.0633916781
7/1/2015 3:20,7.67160822437
7/1/2015 3:25,7.80759042415
7/1/2015 3:30,4.29284738486
7/1/2015 3:35,6.71438866933
7/1/2015 3:40,3.54724905673
7/1/2015 3:45,-1.49463537601
7/1/2015 3:50,-105.113939834
7/1/2015 3:55,5.72319085838
7/1/2015 4:00,8.52092753871
7/1/2015 4:05,10.3329870869
7/1/2015 4:10,8.49223173627
7/1/2015 4:15,10.5843997609
7/1/2015 4:20,12.860800583
7/1/2015 4:25,12.3014275956
7/1/2015 4:30,10.7556657559
7/1/2015 4:35,11.2325842441
7/1/2015 4:40,8.66885957423
7/1/2015 4:45,3.62698242673
7/1/2015 4:50,0.129170288955
7/1/2015 4:55,1.56693667205
7/1/2015 5:00,-4.13103415781
7/1/2015 5:05,-0.825528284898
7/1/2015 5:10,0.0722991182315
7/1/2015 5:15,5.68066748427
7/1/2015 5:20,-40.9075293812
7/1/2015 5:25,10.7834916126
7/1/2015 5:30,9.64166178175
7/1/2015 5:35,7.15265525387
7/1/2015 5:40,18.0946835155
7/1/2015 5:45,5.10025187842
7/1/2015 5:50,19.7492813638
7/1/2015 5:55,19.5753856444
7/1/2015 6:00,12.8610597149
7/1/2015 6:05,8.14387978142
7/1/2015 6:10,11.9104274818
7/1/2015 6:15,15.2552717441
7/1/2015 6:20,14.2802154485
7/1/2015 6:25,27.9949590164
7/1/2015 6:30,23.2320984176
7/1/2015 6:35,18.0609187158
7/1/2015 6:40,13.2298609041
7/1/2015 6:45,20.150263775
7/1/2015 6:50,14.0435999596
7/1/2015 6:55,14.8663712432
7/1/2015 7:00,23.7615041035
7/1/2015 7:05,6.60874857696
7/1/2015 7:10,13.4049823543
7/1/2015 7:15,13.3964779713
7/1/2015 7:20,21.2525916439
7/1/2015 7:25,12.4687534722
7/1/2015 7:30,5.81561581122
7/1/2015 7:35,17.9575383002
7/1/2015 7:40,16.0512929759
7/1/2015 7:45,21.1301699112
7/1/2015 7:50,20.9335621585
